skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Valkyrie	32	ama	valkyrie		16																							strength	"max(stat('strength'.accr),(lvl*par2))"	dexterity	"max(stat('dexterity'.accr),(lvl*par4))"	fireresist	"min((lvl+skill('Dopplezon'.blvl))*par7,85)"	lightresist	"min((lvl+skill('Dopplezon'.blvl))*par7,85)"	coldresist	"min((lvl+skill('Dopplezon'.blvl))*par7,85)"	poisonresist	"min((lvl+skill('Dopplezon'.blvl))*par7,85)"										item_armor_percent	(par3 * (lvl - 1))*((100+stat('sum_cr'.accr))/100)	tohit	(max(stat('tohit'.accr),toht))*((100+stat('sum_cr'.accr))/100)	item_fastermovevelocity	"min(stat('item_fastermovevelocity'.accr),40)+stat('sum_speed'.accr)"	item_fasterattackrate	stat('sum_speed'.accr)	damagepercent	(stat('sum_dmg_perc'.accr)+((blvl==15)?200:0))+(stat('ex_attacks'.accr)*10)																			valkyrie	valkyrie	(stat('sum_ex'.accr)/5)+(blvl==15)?3:1	NU	Evasive Tactics	skill('Evasive Tactics'.blvl)	Critical Strike	skill('Critical Strike'.blvl)										amazon_valkyrie_cast																																	1	6		none												SC	SC	xx					4															1										18	15								1				(100*100)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))		1	1					1	8	25	1	1	1										(par1*(lvl-1))+(skill('Decoy'.blvl)*par8)+stat('sum_hp_perc'.accr)	HP %	(ln56)*((100+stat('sum_dmg_perc'.accr))/100)	Valkyrie Item Level									20	HP % per level	25	Strength per level	10	Armor % per level	12	Dexterity per level	25	Valkyrie Item Level baseline	3	Valkyrie Item Level per level	2	Resistance % per level	10	HP % synergy									1			40*lvl+40*skill('Penetrate'.blvl)					8																																				5	20	0
Pierce	33	ama	pierce																																											pierce			skill_pierce	"min(ln12,80)	item_pierce_cold_immunity	(blvl==10)?par3:0	item_pierce_fire_immunity	(blvl==10)?par3:0	item_pierce_light_immunity	(blvl==10)?par3:0	item_pierce_poison_immunity	(blvl==10)?par3:0	item_pierce_damage_immunity	(blvl==10)?par3:0	item_pierce_magic_immunity	(blvl==10)?par3:0																																																																	1	0		rng		miss												xx																														18	10								1						0	0					0	8	0	0	1	0							1															10	Min % Chance	5	Max % Chance	35	Elemental Pierce																			1								8																																				5	20	0
Lightning Strike	34	ama	lightning strike	10	14													lightningstrike	lightningstrike	lightningstrike							par5																																																																																								lightningstrike	lightningstrike	lightningstrike										1	8		h2h		jave	pole	spea								A1	A1	xx				1		1	1								1															12	20								1						1	1					1	8	9	0	1	1										par5+lvl/5	Range of Bolt Missiles	ln34+stat('ex_missiles'.accr)+((blvl==20)?4:0)	# of target jump hits			0	% Damage Dealt as Elemental (Used only if there is an Etype)					25	Stun duration baseline	5	Stun Duration per level	4	# of target jump hits baseline	1	# of target jump hits per level	10	Radius of jump to next target					8	Damage synergy									1								8	128														ltng	8	12	14	18	24	30	60	24	38	54	64	78	(((skill(20.blvl)+skill('Recharge'.blvl)+skill('Lightning Fury'.blvl)) * par8)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Lightning Fury	35	ama	lightning fury	4	18										lightningfury								42371	lfury		((blvl==20)?25:0)*(100+(stat('buff_length_modifier'.accr)))/100	min((par3+lvl/par4),16)	skill_pierce	(blvl==20)?10:0																																																																															11						lightningfury													1	8	1	rng		jave	spea									TH	TH	xx																														6	20								1						1	1					1	7	20	1	1	1										(min(ln12/2,16))+(min(stat('ex_missiles'.accr),8))	# of furylightning Missiles created											8	# of Lightning Missiles created baseline	1	# of Lightning Missiles created per level	8	Target Search Radius Baseline	4	Target search radius increased by 1 every X lvls							8	Damage synergy									1								8	128														ltng	1	2	3	4	5	5	8	6	12	20	32	48	(((skill('Recharge'.blvl)+skill('Lightning Strike'.blvl))*par8)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Firestorm	36	sor	firestorm		117													firestormmaker																																																																												druid_firecast_b											druid_fire_cast_1				67						firestormmaker												1	0		none												SC	SC	xx				1																1							druid_firecast_b	druid_fire_cast_1		1	20								1						1	1					1	8	4	0	1	1										(lvl<5)?par1:((lvl<10)?4:5)+stat('ex_missiles'.accr)	# of Missiles created											3	# of Missiles created baseline													23	Damage synergy									1								2															fire	3	3	5	7	14	21	6	3	6	8	15	23	((((skill('Fire Ball'.blvl)+skill('Meteor'.blvl))*par8)+((blvl==20)?25:0))*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Warmth	37	sor	warmth		18																			warmth		ln34*(100+(stat('buff_length_modifier'.accr)))/100		manarecoverybonus	ln12	item_fastercastrate	"min(ln56,par7)"	hpregen	(blvl==20)?10:0																																																																								fire_cast_1																						1	0		none												SC	SC	xx																				1							druid_firecast_b	druid_fire_cast_1		1	20								1				(100*(ln34+125))/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))		1	1					0	8	0	0	1	1																						65	Mana Recovery % baseline	5	Mana Recovery % per level	625	Buff Duration Baseline	15	Buff Duration per level	8	Faster Cast Rate Bonus	2	Faster Cast Rate Per Level	40	Faster Cast Rate Max											1								8															fire																					5	20	0
Nova	38	sor	nova	28	22													nova	nova	nova				thunderstorm		10		item_fastercastrate	(blvl==20)?20:0																																																																	sorceress_cast_lightning											light_cast_1				25						nova				0	Missile Velocity Adder							1	2		none												SC	SC	xx																				36	10						sorceress_cast_lightning			12	20								1						1	1					1	8	22	1	1	1										0	Missile Velocity Adder					0	Stun Duration					15	Stun Duration Baseline	5	Stun Duration Per Level											10	Damage Synergy									1								8															ltng	3	5	6	8	9	10	12	8	9	10	11	12	(((skill('Gleaming Apprentice'.blvl)+skill('Polarity Shift'.blvl))*par8)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Ice Bolt	39	sor	ice bolt		8													icebolt	icebolt																																																																											sorceress_cast_cold											ice_cast_1			19	17						icebolt	icebolt	bonecast										1	1		none												SC	SC	xx																				1							sorceress_cast_cold			1	20								1						1	1					1	6	12	1	1	1										((blvl==20)?20:(1+(lvl/2))+stat('ex_missiles'.accr))	# of Missiles created	par3	Missile Activation Frame	((blvl==20)?20:(1+(lvl/2))+stat('ex_missiles'.accr))	# of missiles that can trigger item modifier events											0	Missile Activation Frame									15	Damage synergy									1								6															cold	6	2	3	7	8	10	10	3	5	10	12	16	(((skill('Frost Nova'.blvl)+skill('Abominable'.blvl)+skill('Frozen Orb'.blvl))*par8)*(100+(stat('ex_missiles'.accr)*2))/100)	100	25	15	10	stat('skill_chillsyn'.accr)			5	20	0
Ice Clone	40	sor	ice clone		15																			iceclone				fireresist	"min(lvl*par7,85)"	lightresist	"min(lvl*par7,85)"	coldresist	"min(lvl*par7,85)"	poisonresist	"min(lvl*par7,85)"	item_attackertakesdamage	(blvl==10)?50:0																																								iceclone	dopplezon	1+min((stat('sum_ex'.accr)/3),2)	NU												dopllezon_appear		amazon_valkyrie_cast																																	1	4		none												SC	SC	xx					4																									12	10								1				(100*25)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))		1	1					12	6	76	-3	1	1										lvl*par4	HP %	ln56	Duration	par3	HP % derived from caster							25	Stun Length Baseline	15	Stun length Per Level	15	HP % derived from caster	5	HP % bonus per level	250	Duration baseline	0	Duration per level	4	Resistance % bonus per level											1								8															cold	6	3	4	8	18	54	12	3	6	10	20	56									5	20	0
Fire Ball	41	sor	fire ball												fireball																																																																															sorceress_cast_fire											fire_cast_2									fireball													1	1		none												SC	SC	xx																				1							sorceress_cast_fire			12	20								1						1	1					1	6	15	1	1	1										((blvl==20)?par2:par1)+stat('fireball_radius'.accr)	Explosion Radius											3	Explosion Radius	6	Explosion Radius Mastery	0	Missile Activation Frame							7	Cross Tree Synergies	14	Damage synergy									1				5	12	32		7															fire	12	13	23	33	40	48	28	15	25	36	42	55	((skill('Firestorm'.blvl)+skill('Overheat'.blvl))*par8+((skill('Meteor'.blvl)==20)?40:0)+(stat('energy'.base)-35)/10))*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Static Field	42	sor	static field		20																		34691				(blvl==10)?30:(par1+(blvl*par2))																																																																			sorceress_cast_lightning											light_cast_1																						1	10		none												SC	SC	xx					4															1							sorceress_cast_lightning			6	10								1						1	1					1	8	35	0	1	1										par4	HP % Damage	par3	Minimum Damage value									5	Radius baseline	1	Radius per level	0	Minimum Damage value	25	HP % Damage																	1								8															ltng																					5	20	0
Astral Projection	43	sor	astral projection		27																																									pierce			item_fastercastrate	(blvl==20)?30:0																																												sorceress_teleport											teleport																				1		1	0		none												SC	SC	xx																				1		1	2				sorceress_teleport	teleport		1	20								1						1	1					0	8	10	-1	1	1																																														1								8															ltng																					640	16000	0
Frost Nova	44	sor	frost nova		22													frostnova	frostnova	frostnova																																																																										sorceress_cast_cold											ice_cast_2				25						frostnova												1	6		none												SC	SC	SC																				36	10						sorceress_cast_cold			1	20								1				(100*25)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))		1	1					0	8	0	0	1	1																																		2	Freeze Synergy	10	Damage synergy									1								8															cold	4	4	6	8	10	12	8	5	7	9	11	13	(((skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par8+(stat('energy'.base)-35)/10)*(100+(stat('ex_missiles'.accr)*2))/100)	75	10	5		stat('skill_chillsyn'.accr)+skill('Meteor'.blvl)*par7+((blvl==20)?20:0)			5	20	0
Blizzard	45	sor	blizzard		28													blizzardcenter	blizzardcenter	blizzardcenter																																																																										sorceress_cast_cold											ice_cast_3				28						blizzardcenter												1	7		none												SC	SC	xx					4				1											1							sorceress_cast_cold	ice_cast_3		24	20								1				(stat('Celestial_Aid'.accr)>=1)?0:((100*45)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100)))		1	1					1	7	60	1	1	1										par1	Radius for Area of Effect	par3	Missile Spawn Rate									7	Radius for Area of Effect			4	Missile Spawn Rate									5	Damage synergy									1								8		15	8	25	40	50	60	40	10	28	45	53	60	(((blvl==20)?25:0)*(100+(stat('ex_attacks'.accr)*4))/100)	cold	35	10	30	45	55	65	50	12	31	46	56	66	((stat('Celestial_Aid'.accr)>=1)?150:0+((skill('Ice Bolt'.blvl)+skill('Cold Crippler'.blvl)+skill('Abominable'.blvl))*par8+(stat('energy'.base)-35)/10)*(100+(stat('ex_missiles'.accr)*2))/100)	25				stat('skill_chillsyn'.accr)			5	20	0
Blaze	46	sor	blaze		23													blaze	blaze	blaze				blaze		dm12*(100+(stat('buff_length_modifier'.accr)))/100																							item_fastermovevelocity	ln56	item_attackertakesfiredamage	ln34																																										sorceress_cast_fire											fire_cast_2									blaze	firewall	firesmall	firemedium										1	3		none												SC	SC	xx																				1										6	10								1						1	1					1	7	22	1	1	1																						50	Buff Duration Min	500	Buff Duration Max	10	Fire Thorn Baseline	3	Fire Thorns Per Level	10	Faster Run/Walk Baseline	5	Faster Run/Walk Per Level	1	Damage synergy	4	Damage synergy									1								7															fire	4	3	6	8	12	16	8	4	7	10	18	22	((skill('Warmth'.blvl)*par8+skill('Fire Wall'.blvl)*par7+(stat('energy'.base)-35)/10+((blvl==10)?50:0))*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Meteor	47	sor	meteor		28													meteorcenter	meteorcenter	meteorcenter							(lvl>20)?par1:((lvl>15)?par2:((lvl>10)?6:4))																																																																			sorceress_cast_fire				sorceress_meteor							fire_cast_2				28						meteorcenter												1	6		none												SC	SC	xx					4				1											1							sorceress_cast_fire	fire_cast_2		12	20								1				(stat('Celestial_Aid'.accr)>=1)?0:((100*20)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100)))		1	1					1	7	60	1	1	1										(lvl>19)?par1:((lvl>14)?par2:((lvl>9)?6:4))	Explosion Radius											10	Explosion Radius at lvl 20+	8	Explosion Radius - lvl 15-19	30	Duration of ground fire baseline	15	Duration of ground fire per level							5	Damage synergy									1								8		20	7	9	20	21	22	25	7	10	20	21	22	((skill('Overheat'.blvl)*par8)+(stat('energy'.accr)/40)+((blvl==20)?10:0)*(100+(stat('ex_attacks'.accr)*4))/100)	fire	80	23	39	79	81	83	100	25	41	81	83	85	(((skill('Firestorm'.blvl)+skill('Fire Ball'.blvl))*par8+(stat('energy'.base)-35)/10+((blvl==20)?10:0))*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Rolling Thunder	48	sor	rolling thunder		17													rollingthunder	rollingthunder	rollingthunder																																																																										sorceress_cast_lightning											light_cast_1				23					thundercloud	rollingthunder												1	1		none												SC	SC	xx																				1							sorceress_cast_lightning			1	20								1						1	1					1	5	24	4	1	1										"min(ln34/2,24)+stat('ex_missiles'.accr)"+((blvl==20)?4:0)	# of Bolt Missiles created					0	Stun Duration					10	Stun duration baseline	4	Stun Duration per level	6	# of Bolt Missiles created baseline	1	# of Bolt Missiles created per level							8	Damage synergy									1								8															ltng	10	6	6	12	18	20	20	6	6	12	18	20	(((skill('Chain Lightning'.blvl))*par8)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Gleaming Apprentice	49	sor	gleaming apprentice		119																							fireresist	"min(ln78,85)"	coldresist	"min(ln78,85)"	lightresist	"min(ln78,85)"	poisonresist	"min(ln78,85)"														item_armor_percent	ln78+stat('sum_cr'.accr)	passive_ltng_mastery	ln56+stat('sum_dmg_perc'.accr)+stat('passive_ltng_mastery'.accr)/2	item_fastercastrate	stat('sum_speed'.accr)+((blvl==20)?40:0)	item_fastermovevelocity	stat('sum_speed'.accr)	passive_ltng_pierce	stat('passive_ltng_pierce',accr)/2	item_pierce_light_immunity	stat('item_pierce_light_immunity'.accr)/2																	gleamapprentice	glmapp	1+(stat('sum_ex'.accr)/5)	NU	LocatingLaser	lvl												sorceress_cast_lightning																																	1	0		none												SC	SC	xx				1	4															1										6	20								1						1	1					1	8	25	0	1	1										ln12+stat('sum_hp_perc'.accr)	HP %	ulvl	Summon Pet Level (Min=1)									10	HP % baseline	25	HP % per level			5	Resistance % per level	25	Damage % baseline	10	Damage % per level	50	Armor % baseline	10	Armor % per leve									1								8															ltng																					5	20	0
Shiver Armor	50	sor	shiver armor		18																			shiverarmor		ln34*(100+(stat('buff_length_modifier'.accr)))/100		skill_armor_percent	ln12	coldresist	ln78	item_cannotbefrozen	(blvl==20)?1:0	skill_chillsyn	blvl*3	coldmaxdam	ln56			damagedinmelee	2																																																					sorceress_cast_cold				sorceress_shiverarmor							ice_cast_2	shiverarmor_hit									sparkle				10	Sparkle Missile Delay	5	Sparkle Missile Radius	3	Sparkle Missile Height			1	0		none												SC	SC	xx																				1							sorceress_cast_cold	ice_cast_3		6	20								1						1	1					1	8	25	0	1	1										edln	Freeze Length											40	Armor % baseline	15	Armor % per level	3000	Buff Duration	100	Buff Duration per level	7	Cold Damage Max Baseline	3	Cold Damage Max Per Level	5	Damage Resist Baseline	2	Damage Resist Per Level									1								7															cold	12	8	12	8	10	12	16	10	14	9	11	13	((skill('Warmth'.blvl)*5+(stat('energy'.base)-35)/10)*(100+(stat('ex_missiles'.accr)*2))/100)	100	25	15					5	20	0
Fire Wall	51	sor	fire wall		24													firewallmaker	firewall																																																																											sorceress_cast_fire											fire_cast_2				26						firewallmaker												1	4		none												SC	SC	SC					4				1											1							sorceress_cast_fire			6	10								1				((blvl==10)?0:(100*35)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100)))		1	1					1	8	22	1	1	1										par1+((blvl==10)?2:0)	# of max Fire Walls (oldest is removed when the limit is hit)											3	# of max Fire Walls (oldest is removed when the limit is hit)											4	Damage synergy	8	Damage synergy									1								5															fire	6	6	16	24	24	24	10	10	16	24	24	24	(((skill('Warmth'.blvl)*par8+skill('Overheat'.blvl)*par7+((skill('Meteor'.blvl)==20)?40:0)+(stat('energy'.base)-35)/10)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Enchant	52	sor	enchant		25										enchantfire									enchant		ln12*(100+(stat('buff_length_modifier'.accr)))/100		firemindam	enma	firemaxdam	exma	item_tohit_percent	toht	item_fasterattackrate	"min(ln56,60)"	item_allskills	((blvl==20)?2:0)																																																									sorceress_enchant																				enchantfire													1	4		none												SC	SC	xx												1	1							1			1				sorceress_enchant			1	20								1						1	1					1	8	25	1	1	1																						600	Buff Duration baseline	200	Buff Duration per level	100	% Damage for Ranged Weapons			5	Attack Speed Baseline	2	Attack Speed Per Level			9	Damage synergy									1	40	15						6															fire	8	3	9	15	19	22	12	5	9	17	25	32	(((skill('Warmth'.blvl))*par8+(stat('energy'.base)-35)/10)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Chain Lightning	53	sor	chain lightning	28	26													chainlightning	chainlightning	chainlightning				thunderstorm		10	par1	item_fastercastrate	((blvl==20)?20:0)																																																																	sorceress_cast_lightning											light_cast_1				27						chainlightning	chainlightning	chainlightning										1	2		none												SQ	SC	SC	12			1																151	96						sorceress_cast_lightning			12	20								1						1	1					1	8	20	1	1	1										ln34/par5+stat('ex_missiles'.accr)	# of target jump hits					0	Stun Duration					20	Radius of jump to next target			26	# of target jump hits baseline	1	# of target jump hits per level	5	"Every # levels, increase target jump"					4	Damage synergy									1								8															ltng	1	12	14	16	16	21	46	17	19	21	21	21	(((skill('Rolling Thunder'.blvl)+skill('Gleaming Apprentice'.blvl)+skill('Nova'.blvl))*par8+(stat('energy'.base)-35)/10)*(100+(stat('ex_missiles'.accr)*2))/100)	15	10	5					5	20	0
