description	*Category	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Prepare Forge - Shield	Crafting	1				100	15	386	25		3	Z01	shie	wms					useitem				ucore			-25	-25																					a01	99			body-level			111	164																																																		0
Prepare Forge - Torso	Crafting	1				100	15	386	25		3	Z01	tors	wms					useitem				ucore			-25	-25																					a01	99			body-level			165	214																																																		0
Prepare Forge - Ring/Amulet/Quiver	Crafting	1				100	15	386	25		3	Z01	ring	wms					useitem				ucore			-25	-25																					a02	99			body-level			1	33																																																		0
Prepare Forge - Ring/Amulet/Quiver	Crafting	1				100	15	386	25		3	Z01	amul	wms					useitem				ucore			-25	-25																					a02	99			body-level			1	33																																																		0
Prepare Forge - Ring/Amulet/Quiver	Crafting	1				100	15	386	25		3	Z01	bowq	wms					useitem				ucore			-25	-25																					a02	99			body-level			1	33																																																		0
																																																																																																										0
																																																																																																										0
--Prepare Blood Contracts (Set)--																																																																																																										0
Prepare Forge - Weapons	Crafting	1				100	15	369	10		3	Z01	weap	yps					useitem				score			-10	-10																					a03	99			body-level			1	36																																																		0
Prepare Forge - Belt	Crafting	1				100	15	369	25		3	Z01	belt	yps					useitem				score			-25	-25																					a04	99			body-level			1	15																																																		0
Prepare Forge - Boots	Crafting	1				100	15	369	25		3	Z01	boot	yps					useitem				score			-25	-25																					a04	99			body-level			16	24																																																		0
Prepare Forge - Chest	Crafting	1				100	15	369	25		3	Z01	tors	yps					useitem				score			-25	-25																					a04	99			body-level			25	50																																																		0
Prepare Forge - Gloves	Crafting	1				100	15	369	25		3	Z01	glov	yps					useitem				score			-25	-25																					a04	99			body-level			51	63																																																		0
Prepare Forge - Helm	Crafting	1				100	15	369	25		3	Z01	helm	yps					useitem				score			-25	-25																					a04	99			body-level			64	91																																																		0
Prepare Forge - Shield	Crafting	1				100	15	369	25		3	Z01	shie	yps					useitem				score			-25	-25																					a04	99			body-level			92	107																																																		0
Prepare Forge - Ring/Amulet/Quiver	Crafting	1				100	15	369	25		3	Z01	ring	yps					useitem				score			-25	-25																					a05	99			body-level			1	13																																																		0
Prepare Forge - Ring/Amulet/Quiver	Crafting	1				100	15	369	25		3	Z01	amul	yps					useitem				score			-25	-25																					a05	99			body-level			1	13																																																		0
Prepare Forge - Ring/Amulet/Quiver	Crafting	1				100	15	369	25		3	Z01	bowq	yps					useitem				score			-25	-25																					a05	99			body-level			1	13																																																		0
																																																																																																										0
																																																																																																										0
--Blood Contracts (Unique)--																																																																																																										0
Forge Item - Weapon	Crafting	1				100	18	398	1		1	a00							The Gnasher	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	2		1	a00							Deathspade	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	3		1	a00							Bladebone	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	4		1	a00							Skull Splitter	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	5		1	a00							Rakescar	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	6		1	a00							Fechmars Axe	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	7		1	a00							Goreshovel	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	8		1	a00							The Chieftan	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	9		1	a00							Brainhew	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	10		1	a00							The Humongous	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	11		1	a00							Iros Torch	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	12		1	a00							Maelstromwrath	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	13		1	a00							Gravenspine	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	14		1	a00							Umes Lament	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	15		1	a00							Felloak	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	16		1	a00							Knell Striker	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	17		1	a00							Rusthandle	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	18		1	a00							Stormeye	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	19		1	a00							Stoutnail	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	20		1	a00							Crushflange	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	21		1	a00							Bloodrise	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	22		1	a00							The Generals Tan Do Li Ga	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	23		1	a00							Ironstone	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	24		1	a00							Bonesnap	99																																																																																						0
Forge Item - Weapon	Crafting	1				100	18	398	25		1	a00							Steeldriver	99																																																																																						0
